"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","start","jitterX","jitterY","parA"
"","psychophysics","137","530905","0.0-137.0","ETHAN","TEST","","","","","566","key"," "," ","7.22170129870125","500","250","instPog1","190","1","190","0","0","160"
"","psychophysics","138","533267","0.0-138.0","ETHAN","TEST","","","","","2361","key"," "," ","7.411798107255638","500","250","instPog2","175","1","190","0","0","160"
"","psychophysics","139","533726","0.0-139.0","ETHAN","TEST","","","","","458","key"," "," ","7.175467741934793","500","250","inst","","","","","",""
"","psychophysics","140","536738","0.0-140.0","ETHAN","TEST","","","","","3012","key"," "," ","7.524797499999986","500","250","pog","175","1","240","0","0","146"
"","psychophysics","141","538427","0.0-141.0","ETHAN","TEST","","","","","1688","key"," "," ","7.315506550218548","500","250","pog","194","1","208","0","0","166"
"","psychophysics","142","542390","0.0-142.0","ETHAN","TEST","","","","","3962","key"," "," ","7.463773156899831","500","250","pog","175","1","93","0","0","161"
"","psychophysics","143","544303","0.0-143.0","ETHAN","TEST","","","","","1911","key"," "," ","7.46925882352927","500","250","pog","154","1","148","0","0","140"
"","psychophysics","144","546877","0.0-144.0","ETHAN","TEST","","","","","2573","key"," "," ","7.37197694524496","500","250","pog","169","1","215","0","0","151"
"","psychophysics","145","549994","0.0-145.0","ETHAN","TEST","","","","","3116","key"," "," ","7.415816229117116","500","250","pog","163","1","237","0","0","136"
"","psychophysics","146","553458","0.0-146.0","ETHAN","TEST","","","","","3463","key"," "," ","7.412670235545923","500","250","pog","184","1","156","0","0","149"
"","psychophysics","147","557374","0.0-147.0","ETHAN","TEST","","","","","3916","key"," "," ","7.38491493383742","500","250","pog","163","1","91","0","0","139"
"","psychophysics","148","561492","0.0-148.0","ETHAN","TEST","","","","","4117","key"," "," ","7.4550108695653705","500","250","pog","149","1","96","0","0","120"
"","psychophysics","149","564620","0.0-149.0","ETHAN","TEST","","","","","3127","key"," "," ","7.396033175355287","500","250","pog","166","1","207","0","0","134"
"","psychophysics","150","570961","0.0-150.0","ETHAN","TEST","","","","","6341","key"," "," ","7.363539534883687","500","250","pog","201","1","93","0","0","173"
"","psychophysics","151","574841","0.0-151.0","ETHAN","TEST","","","","","3879","key"," "," ","7.347003795066495","500","250","pog","218","1","152","0","0","188"
"","psychophysics","152","576515","0.0-152.0","ETHAN","TEST","","","","","1672","key"," "," ","7.349378854625588","500","250","pog","147","1","145","0","0","126"
"","psychophysics","153","580337","0.0-153.0","ETHAN","TEST","","","","","3821","key"," "," ","7.324880998080682","500","250","pog","193","1","208","0","0","162"
"","psychophysics","154","597211","0.0-154.0","ETHAN","TEST","","","","","16873","key"," "," ","7.386702146298736","500","250","pog","219","1","230","0","0","194"
"","psychophysics","155","597753","0.0-155.0","ETHAN","TEST","","","","","541","key"," "," ","7.233027027026322","500","250","inst","","","","","",""
"","psychophysics","156","601351","0.0-156.0","ETHAN","TEST","","","","","3597","key"," "," ","7.425247933884192","500","250","instEB4","40","2","40","0","0","40"
"","psychophysics","157","601574","0.0-157.0","ETHAN","TEST","","","","","222","key"," "," ","7.182933333333737","500","250","inst","","","","","",""
"","psychophysics","158","604144","0.0-158.0","ETHAN","TEST","","","","","2569","key"," "," ","7.287974358974436","500","250","eb","67","2","51","0","0","45"
"","psychophysics","159","605134","0.0-159.0","ETHAN","TEST","","","","","989","key"," "," ","7.421691729323028","500","250","eb","45","2","35","0","0","38"
"","psychophysics","160","606345","0.0-160.0","ETHAN","TEST","","","","","1210","key"," "," ","7.423253086419995","500","250","eb","41","2","42","0","0","32"
"","psychophysics","161","607835","0.0-161.0","ETHAN","TEST","","","","","1489","key"," "," ","7.366323383084836","500","250","eb","48","2","53","0","0","29"
"","psychophysics","162","609862","0.0-162.0","ETHAN","TEST","","","","","2026","key"," "," ","7.302487364620902","500","250","eb","64","2","35","0","0","49"
"","psychophysics","163","611114","0.0-163.0","ETHAN","TEST","","","","","1251","key"," "," ","7.40640476190449","500","250","eb","47","2","52","0","0","35"
"","psychophysics","164","612029","0.0-164.0","ETHAN","TEST","","","","","914","key"," "," ","7.464057377049104","500","250","eb","58","2","51","0","0","40"
"","psychophysics","165","613583","0.0-165.0","ETHAN","TEST","","","","","1553","key"," "," ","7.5277268292683335","500","250","eb","61","2","52","0","0","48"
"","psychophysics","166","615277","0.0-166.0","ETHAN","TEST","","","","","1693","key"," "," ","7.474154867256571","500","250","eb","40","2","28","0","0","38"
"","psychophysics","167","617960","0.0-167.0","ETHAN","TEST","","","","","2682","key"," "," ","7.517547752808915","500","250","eb","38","2","54","0","0","27"
"","psychophysics","168","619044","0.0-168.0","ETHAN","TEST","","","","","1083","key"," "," ","7.430696551724145","500","250","eb","48","2","47","0","0","40"
"","psychophysics","169","620300","0.0-169.0","ETHAN","TEST","","","","","1255","key"," "," ","7.4036568047343785","500","250","eb","40","2","40","0","0","30"
"","psychophysics","170","621350","0.0-170.0","ETHAN","TEST","","","","","1049","key"," "," ","7.555724637680754","500","250","eb","26","2","25","0","0","25"
"","psychophysics","171","622957","0.0-171.0","ETHAN","TEST","","","","","1606","key"," "," ","7.401833333333208","500","250","eb","43","2","51","0","0","29"
"","psychophysics","172","625602","0.0-172.0","ETHAN","TEST","","","","","2644","key"," "," ","7.463305949008556","500","250","eb","51","2","26","0","0","37"
"","psychophysics","173","626109","0.0-173.0","ETHAN","TEST","","","","","506","key"," "," ","7.253420289855558","500","250","inst","","","","","",""
"","psychophysics","174","629290","0.0-174.0","ETHAN","TEST","","","","","3180","key"," "," ","7.319663594469905","500","250","instPz4","15","1","15","","","30"
"","psychophysics","175","629916","0.0-175.0","ETHAN","TEST","","","","","625","key"," "," ","7.277976470587173","500","250","inst","","","","","",""
"","psychophysics","176","636862","0.0-176.0","ETHAN","TEST","","","","","6945","key"," "," ","7.364536093418302","500","250","pz","55","1","24","","","52"
"","psychophysics","177","637785","0.0-177.0","ETHAN","TEST","","","","","922","key"," "," ","7.399701612902948","500","250","pz","53","1","53","","","56"
"","psychophysics","178","640535","0.0-178.0","ETHAN","TEST","","","","","2749","key"," "," ","7.321933333333272","500","250","pz","33","1","60","","","21"
"","psychophysics","179","642362","0.0-179.0","ETHAN","TEST","","","","","1826","key"," "," ","7.286289156626828","500","250","pz","59","1","36","","","53"
"","psychophysics","180","644012","0.0-180.0","ETHAN","TEST","","","","","1649","key"," "," ","7.389635135135445","500","250","pz","31","1","49","","","24"
"","psychophysics","181","645555","0.0-181.0","ETHAN","TEST","","","","","1542","key"," "," ","7.3153904761908395","500","250","pz","27","1","22","","","28"
